ack_ewma(ms),classes,freq,,,
11.5077,20.18,4,,,
5.80307,20.2,3,,,
3.52123,20.22,4,,,
2.60849,20.24,6,,,
2.2434,20.26,5,,,
1.49736,20.28,4,,,
1.79894,20.3,5,,,
11.5196,20.32,3,,,
5.80783,20.34,4,,,
3.52313,20.36,2,,,
2.60925,20.38,3,,,
2.2437,20.4,6,,,
1.49748,20.42,6,,,
1.79899,20.44,5,,,
1.9196,20.46,5,,,
3.16784,20.48,4,,,
2.46714,20.5,6,,,
2.18685,20.52,3,,,
2.0299,20.54,4,,,
2.01196,20.56,7,,,
1.40478,20.58,7,,,
1.76191,20.6,5,,,
1.98476,20.62,4,,,
1.75902,20.64,7,,,
1.38458,20.66,3,,,
7.06153,20.68,9,,,
4.02461,20.7,2,,,
2.80985,20.72,8,,,
2.32394,20.74,9,,,
3.92958,20.76,4,,,
71.7718,20.78,2,,,
29.9087,20.8,3,,,
12.5635,20.82,4,,,
12.2254,20.84,7,,,
5.49016,20.86,3,,,
93.9961,20.88,7,,,
